time(s), train_loss, test_loss, train_acc, test_acc, epoch_time(s)
0.0, 2.3026, 2.3027, 9.8791, 9.8057, 12.1767
0.0833, 2.3037, 2.3028, 11.7188, 9.8057, 11.8469
2.617, 2.2296, 1.8117, 17.5665, 25.7212
5.1137, 1.7082, 0.7888, 36.2523, 72.8566
7.6044, 1.3386, 0.3796, 51.4379, 90.2344
10.244, 1.0933, 0.3131, 61.2473, 91.2059
12.1767, 0.9813, 0.2979, 65.65, 91.8169
12.273900000000001, 0.275, 0.2921, 92.1875, 91.8169
14.7794, 0.2581, 0.3662, 93.108, 90.7652
17.3021, 0.255, 0.2661, 92.9765, 92.4479
19.8018, 0.2591, 0.2659, 92.9532, 92.9187
22.343, 0.2511, 0.189, 93.1967, 95.0321
24.0238, 0.2508, 0.2306, 93.1791, 93.9704
